FirstSurvey,Status,StatusOther,Field,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,FieldOther,NumWorkshops,TimeSinceWorkshop,WhichCarpentry,ContentCovered,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,ContentCoveredOther,Behaviors,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,BehaviorsOther,ProgrammingBefore,ProgrammingSince,ChangeInConfidence,HowToolsHelped,Column34,Column35,Column36,Column37,HowToolsHelpedOther,Writing,WritingResponse,OtherTopics,AdvanceCareer,MotivatedSeekKnowledge,AnalysesReproducible,ProfessionalRecognition,Column42,ImproveResearchProductivity,GainedConfidence,ImpactResponse,Country,Gender,Race,Column45,Column46,Column47,Column48,Column49,Column50,Involvement,Column51,Column52,Column53,Column54,Column55,Column56,Column57,InvolvementOther,ContinuousLearning,Column59,Column60,Column61,Column62,Column63,ContinousLearningOther,Recommended,LikelyToRecommend,OutcomesResponse,NotApplyingSkillsResponse,AdditionalCommentsResponse
,Postdoc,,,,,,Earth Sciences,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,I had not been using tools like these.,Daily.,I’m equally confident now.,,,,,I am not using the tools I learned.,,No.,,,Neutral,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,I was inspired to learn and improve my proficiency in programming languages such as R and Python,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,Participated in an online short course.,,,,Used non-Carpentry self-guided material.,,No.,7,,My current job does not specifically require them at the moment,"It would be helpful if instructors at these workshops had sample datasets to use when teaching (with the exception of cases where participants have requested specific techniques to be taught. I think this would enhance the user experience because whatever techniques you learn, they are readily transferable to other types of data. I took a DataCamp short online course and this is something they do, even though the samples are very simple, it serves to illustrate what the programming language can do."
,Industry,,,,,Computer Science,,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,,,,,,,Using version control to manage code.,,,,Several times per year.,Daily.,I’m more confident now.,They are improving my overall efficiency.,,,,,,No.,,,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't remember.,5,,,
,Postdoc,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,,R,,SQL,Unix Shell,,,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,,Sharing code or data publicly on places like GitHub or FigShare.,,Monthly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,"Used introduction to R to build computational models, perform analysis, and make figures.",,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Started using R more frequently to the point that it is now my primary data analysis and graphing tool.,,,,,,,,,,,,Became a workshop helper.,,,,,,,Participated in an in-person short course.,,,,,,,No.,8,,,
,,Programmer,,,,,Earth Sciences,,,,,Mathematics or Statistics,,,,2,0-6 months ago,,,Git,,,,Python,,,,Unix Shell,,,,,,,,,Using version control to manage code.,,,,Several times per year.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,,,,,,No.,,C/C++,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Level of presenting person quite high (merithoric and didactic),,,,,,,,,,,,,,,,,,,,Participated in an online short course.,,,,Used non-Carpentry self-guided material.,,Yes.,10,"Understsnding idea and specificity of Python, more confidence with github usage",,
,Postdoc,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,SQL,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,Sharing code or data publicly on places like GitHub or FigShare.,,I had not been using tools like these.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Faculty,,,,,,,,,,Life Sciences,,,,,2,6 months - 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,,,,Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Several times per year.,Several times per year.,I’m more confident now.,,,They are improving my ability to manage data.,,,,No.,,Making a GitHub Wiki page,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,Participated in an in-person short course.,,,,,,,Yes.,7,Actively use GitHub account to share data and code with collaborators.,,I didn't get a run-down of the materials after the lesson. This should be standard practice so that I could go back and consult what we did during the very intense workshop.
,Postdoc,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,,,,,,R,,SQL,,,,,,,,,,,,,,Daily.,Daily.,I’m equally confident now.,,,,,,due to my field I am forced to use R workshop helped but I would be much more effecient with a better language,No.,,"for me personally, more advanced topics such as gui creation (C, python, etc) , cross platform development outside of virtual machine langauges, or advanced machine learning algorithms",Neutral,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Neutral,very basic introduction to R and sql which made relearning and having to use it later easier,,,,,,,,,,,,,,,,,,none,,,,,,,n/a,No.,7,,I already knew and was applying much of it. I have avoided using R because I think it is a piece of crap language who's functionality can be mimicked easily in more robust languages with better control and logic structures. ,I think it was well run and well done. I was just not the target audience. 
,Postdoc,,,Biomedical/Health Sciences,,,,,,,,,,,,1,6 months - 1 year ago,,,,,,OpenRefine,,R,Spreadsheets,,,,,Improving data management and project organization.,Developing a data management and analysis plan.,,,,,,,,,Daily.,Daily.,I’m equally confident now.,,,They are improving my ability to manage data.,,,,No.,,Include Python in data carpentry,Agree,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,No involvement,,,,,,,,Yes.,8,,,
,Industry,,Agricultural or Environmental Sciences,,,Computer Science,,,,,Life Sciences,,,,Ag biotech microbial bioinformatics,2,More than 1 year ago,,,Git,,,,Python,R,,SQL,Unix Shell,,,Improving data management and project organization.,,,,,,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Weekly.,I’m equally confident now.,They are improving my overall efficiency.,,They are improving my ability to manage data.,,,,Not sure.,,,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,"Sent students and mentees to SWC workshops, used tutorials to teach myself and others",Participated in an in-person short course.,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10,,,
,Faculty,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,,,,,,R,,SQL,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Weekly.,Daily.,I’m equally confident now.,,,,,,"knowledge, some ""add on"", some first exposure",Not sure.,,the workshop was great!  It was relatively short  would take /recommend similar workshop(s) to gain bit more in-depth understanding,Neutral,Strongly disagree,Neutral,Neutral,Neutral,Neutral,Neutral,SQL,,,,,,,,,,,,,,,,,,,Participated in an in-person short course.,,,,,,,Yes.,10,interest in topic  learned more about tool introduced at workshop afterwards,,
,Industry,,,,,Computer Science,,,,,,,,,,1,More than 1 year ago,,,,,,,,R,,,,,,,,,,,,,,,,Daily.,Daily.,I’m more confident now.,,,,,I am not using the tools I learned.,,No.,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,9,,,
,Graduate Student,,,,,Computer Science,,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,,,,Transforming step-by-step workflows into scripts or functions.,,,,,,,Weekly.,Daily.,I’m more confident now.,,,They are improving my ability to manage data.,,I am not using the tools I learned.,,No.,,,Agree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,6,,,I took the Carpentry workshop at a time when I was a self-taught python programmer working in astronomy and it really helped expose me to libraries I wasn't familiar with that were very helpful for me.
,Graduate Student,,Agricultural or Environmental Sciences,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,Python,,,SQL,Unix Shell,,,,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Several times per year.,Monthly.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,Not sure.,,,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,7,,,
,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,No.,,,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,9,,,
,Academic Research Staff,,,,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,Monthly.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,,,The tools I learned have not helped me with my work.,,,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Faculty,,,,,,Earth Sciences,,,,Life Sciences,,,,ecology,1,More than 1 year ago,,,Git,,,,,R,,SQL,,,using shell in mac,Improving data management and project organization.,Developing a data management and analysis plan.,,,,Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Monthly.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,Yes.,,Id be thrilled to take another course! Just the opportunity would be enough. ,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,use of shell,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,9,,,
,Graduate Student,,,,,Computer Science,,,,,,,,,,1,More than 1 year ago,,,Git,MATLAB,,,Python,R,,SQL,Unix Shell,,,,,,,,,,,,Nothing,Daily.,Daily.,I’m equally confident now.,,,,,,,No.,,,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,No.,,,Already knew them all. Was misled as to what would be covered. ,"Many of the topics taught, notably Unix shell and SQL, were taught horribly and the instructor was giving shockingly inaccurate and bad advice. "
,,Staff,Agricultural or Environmental Sciences,,,,,,,,,,,,,1,0-6 months ago,,,Git,,,,,R,,SQL,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,Sharing code or data publicly on places like GitHub or FigShare.,,Monthly.,Monthly.,I’m more confident now.,They are improving my overall efficiency.,,,,,,No.,,,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't remember.,9,,,
,Academic Research Staff,,Agricultural or Environmental Sciences,,,,Earth Sciences,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,R,,,,,,,Developing a data management and analysis plan.,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Weekly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,just getting more skills in R helped me complete a huge data project and publication,"not sure; almost all of the version control stuff went right over my head.  i'm older and new to that stuff, and most of the other people were either already familiar or like me, so it was hard to get onto the learning slope.",Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,got help from fellow participants in specific R commands and language,,,,,,,,,,,,,,,,,,,,,,,,,,No.,5,,,
,Industry,,,,,,,Engineering,,,,Mathematics or Statistics,,,Finance,2,More than 1 year ago,,,Git,,,,Python,R,,SQL,Unix Shell,,,,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,,,,Less than once per year.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,Not sure.,,,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,,,Yes.,8,,,
,Graduate Student,,,,,,Earth Sciences,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,,,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,Not sure.,,"Advanced Python, SQL workshop, C++ beginner",Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Improved on my python skills that I use everyday,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,8,,,
,Other Academic Staff,,,,,Computer Science,,Engineering,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,I had not been using tools like these.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,,They are improving my ability to manage data.,,,,No.,,,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,Used self-guided Carpentry lesson material.,Used non-Carpentry self-guided material.,,Yes.,10,,,
,Other Academic Staff,,,,,,,,,Library Sciences,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Several times per year.,Several times per year.,I’m equally confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,Just more familiarity with how tools work together - some improved practice around code management,,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,,,,,,,,,,,,,,,,,,,Sponsored a library carpentry workshop,,,,,,,,Yes.,10,,,
,Graduate Student,,,,,,,,,,,,Physical Sciences,,,1,6 months - 1 year ago,,,Git,,,,Python,R,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,I had not been using tools like these.,Several times per year.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,Not sure.,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,Participated in an online short course.,,,,,,Yes.,8,,,
,Graduate Student,,,,,,,Engineering,,,,,,,,2,More than 1 year ago,,,Git,,,OpenRefine,,R,Spreadsheets,SQL,Unix Shell,,,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Student,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,,R,,,,I don't remember.,,Improving data management and project organization.,Developing a data management and analysis plan.,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Monthly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,"Taught me about Rstudio, advantages of scripting",,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,"Learned to use Rstudio, Started thinking more about the scripts. ",,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,8,,,
,Postdoc,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,1,6 months - 1 year ago,,,Git,,,,Python,,,,,,,,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Several times per year.,Several times per year.,I’m more confident now.,,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Not sure.,,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,,,Yes.,9,,,
,Faculty,,,,,,,Engineering,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,SQL,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,,Sharing code or data publicly on places like GitHub or FigShare.,,Weekly.,Weekly.,I’m equally confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,No.,,,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,I learned to appreciate the team approach and interactive pedagogy used in Carpentry,,,,,,,,,,,,Became a workshop helper.,,,,,,,Participated in an in-person short course.,,,,Used self-guided Carpentry lesson material.,,,Yes.,7,,,
,Faculty,,Agricultural or Environmental Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Industry,,,,,Computer Science,,Engineering,,,,,,,,1,More than 1 year ago,,,Git,,,,,,,,Unix Shell,I don't remember.,,,,,,,,,,,,Daily.,Daily.,I’m equally confident now.,,,,,,,No.,,,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,No.,4,,"I didn't learn much new, and that which was new never stuck; I've had to relearn it manually since.",
,Industry,,,,,,,Engineering,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,Improving data management and project organization.,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,,They are improving my ability to manage data.,,,,Not sure.,,,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,Yes.,9,,,
,Postdoc,,,,,,Earth Sciences,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,,,,,,,,,,none,Less than once per year.,I have not been using tools like these.,I’m equally confident now.,,,,,I am not using the tools I learned.,,No.,,R,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,10,,Because I didn't manage to use python for my work after the workshop,
,Graduate Student,,,,,Computer Science,,,,,,,,,,1,More than 1 year ago,,,,,,,Python,,,,,,,,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,,,,,Daily.,Daily.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,Not sure.,,Deep Learning,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,,,Yes.,7,,,
,Postdoc,,Agricultural or Environmental Sciences,,,,,Engineering,,,,,Physical Sciences,,,1,More than 1 year ago,,,,,,,Python,R,,,,,,Improving data management and project organization.,,"Using databases, scripts and queries to manage large data sets.",,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Daily.,Daily.,I’m equally confident now.,,They are improving my ability to analyze data.,,,,,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Student,,,,,,,Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Student,,,Biomedical/Health Sciences,,,,Engineering,,,,,,,,1,6 months - 1 year ago,,,Git,,,,Python,,,SQL,Unix Shell,,,Improving data management and project organization.,,,Transforming step-by-step workflows into scripts or functions.,,,,,,,Daily.,Daily.,I’m equally confident now.,They are improving my overall efficiency.,,,,,,Not sure.,,,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,I don't remember.,6,,,
,Graduate Student,,,,,,,,,,,,Physical Sciences,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,,Developing a data management and analysis plan.,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,,,,Less than once per year.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,,,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,Participated in an in-person short course.,Participated in an online short course.,,Participated in a semester long course.,,Used non-Carpentry self-guided material.,,Yes.,10,,,
,Graduate Student,,Agricultural or Environmental Sciences,,,,,,,,,,,,,2,More than 1 year ago,,,,,,,,R,,,,,,,,,,,Reusing code.,,,,,I had not been using tools like these.,Daily.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,Not sure.,,,Agree,Agree,Neutral,Strongly disagree,Disagree,Disagree,Agree,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,I don't remember.,5,,,
,Graduate Student,,,,,,,,,,Life Sciences,,,,,1,0-6 months ago,,,,,,OpenRefine,,R,Spreadsheets,SQL,,,,,,,,,,,,,,Monthly.,Monthly.,I’m equally confident now.,,,,,I am not using the tools I learned.,,Not sure.,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,Participated in an in-person short course.,,,,,,,No.,3,,,
,Graduate Student,,,,,,,,,,Life Sciences,,,,,2,6 months - 1 year ago,,,Git,,,OpenRefine,Python,,,,,,,,,,,,,,,,,Weekly.,Daily.,I’m more confident now.,,,,,I am not using the tools I learned.,,No.,,,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,7,,,
,Graduate Student,,,Biomedical/Health Sciences,,,,,,,Life Sciences,,,,,1,More than 1 year ago,,,,,,,Python,,,,Unix Shell,,,,,"Using databases, scripts and queries to manage large data sets.",Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Weekly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,They are improving my ability to manage data.,,,,Yes.,Efficiency & reproducibility,,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Understanding the landscape of what is possible using these tools,,,,,,,,,,,,,,,,,,Have not been involved,,Participated in an online short course.,,,,Used non-Carpentry self-guided material.,,Yes.,10,,,Excellent - thank you so much for your time and effort!
,Academic Research Staff,,,,,Computer Science,,,,,,,,Social Sciences,Policy,1,More than 1 year ago,,,Git,,,,,R,,SQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Graduate Student,,,,,,,,,,,,Physical Sciences,,,1,0-6 months ago,,,,,,,Python,,,,,,,,,,,,,,,,"None, because the workshop did not reach the Unix or Git sections which were the sections I was hoping to learn from",Daily.,Daily.,I’m equally confident now.,,,,,,I did not learn anything new because the workshop was sold to me as being more advanced than it actually was,No.,,"A more advanced workshop would be welcome. Also, a machine learning workshop would be great",Neutral,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,I was not impacted since the topics that I wanted to learn about were not reached,,,,,,,,,,,,,,,,,,,,Participated in an online short course.,,,,Used non-Carpentry self-guided material.,,No.,5,,It was too basic and I already knew about everything we covered,
,Industry,,,,,,Earth Sciences,,,,,Mathematics or Statistics,,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,Using version control to manage code.,Using version control to collaborate online (in public or private repositories).,Sharing code or data publicly on places like GitHub or FigShare.,,Monthly.,Weekly.,I’m more confident now.,They are improving my overall efficiency.,,,,,,No.,,,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,,,Yes.,8,Using Git on a regular basis.  Improved Python coding.,,
,Postdoc,,Agricultural or Environmental Sciences,,,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,,,,Make,Improving data management and project organization.,,,Transforming step-by-step workflows into scripts or functions.,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,,,,Weekly.,Daily.,I’m more confident now.,They are improving my overall efficiency.,They are improving my ability to analyze data.,,,,,Yes.,Version control of manuscripts and automated generating figures,Advanced git,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Moved to more efficient working practices using version control and automation through Make and scripting,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,9,Version control of my thesis and building using Make,,It was really good and the level was perfect
,Graduate Student,,,,,,,,,,,,Physical Sciences,,,1,More than 1 year ago,,,Git,,,,Python,,,,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",,,,,,Less than once per year.,Several times per year.,I’m more confident now.,,They are improving my ability to analyze data.,,,,,No.,,,Neutral,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes.,7,,,
,Postdoc,,,,,,,,,,,,Physical Sciences,,,1,More than 1 year ago,,,Git,,Mercurial,,Python,,,SQL,Unix Shell,,,,,,,"Using programming languages like R or Python, or the command line to automate repetitive tasks.",Reusing code.,Using version control to manage code.,,,,Daily.,Daily.,I’m more confident now.,They are improving my overall efficiency.,,,,,,Not sure.,,Fortran,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Neutral,Version control! So useful,,,,,,,,,,Subscribed to the newsletter.,,,,,,,,,,,,,,Used non-Carpentry self-guided material.,,I don't remember.,7,,,
,Graduate Student,,,Biomedical/Health Sciences,,,,,,,,,,,,1,More than 1 year ago,,,Git,,,,Python,,,SQL,,,,,,,,,,,,,,I had not been using tools like these.,I have not been using tools like these.,I’m equally confident now.,,,,,I am not using the tools I learned.,,No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
